Frequency[Hz]	Experimental
1906.3	0.67211
1907.8	0.67159
1909.4	0.66956
1910.9	0.66911
1912.5	0.66942
1914.1	0.66970
1915.6	0.66934
1917.2	0.66805
1918.8	0.66787
1920.3	0.66783
1921.9	0.66803
1923.4	0.66880
1925.0	0.66834
1926.6	0.66772
1928.1	0.66892
1929.7	0.66969
1931.3	0.66991
1932.8	0.67025
1934.4	0.67102
1935.9	0.67172
1937.5	0.67167
1939.1	0.67181
1940.6	0.67173
1942.2	0.67216
1943.8	0.67206
1945.3	0.67196
1946.9	0.67234
1948.4	0.67233
1950.0	0.67273
1951.6	0.67288
1953.1	0.67340
1954.7	0.67404
1956.3	0.67390
1957.8	0.67407
1959.4	0.67479
1960.9	0.67462
1962.5	0.67517
1964.1	0.67630
1965.6	0.67682
1967.2	0.67719
1968.8	0.67681
1970.3	0.67750
1971.9	0.67781
1973.4	0.67709
1975.0	0.67563
1976.6	0.67419
1978.1	0.67271
1979.7	0.67190
1981.3	0.67120
1982.8	0.67143
1984.4	0.67331
1985.9	0.67457
1987.5	0.67517
1989.1	0.67535
1990.6	0.67539
1992.2	0.67509
1993.8	0.67575
1995.3	0.67480
1996.9	0.67335
1998.4	0.67392
2000.0	0.67277
